"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.014591,40.618359,-3.7081141,1,0.0176,0,0.0066,0.00105
-2.0351527,41.323475,-4.0100207,1,0.017820001,0,0.0068199998,0.00105
-2.0369823,42.259686,-4.3245769,1,0.01804,0,0.0070400001,0.00105
-2.0432053,43.075092,-4.8281217,1,0.01826,0,0.0072599999,0.00105
-2.0352314,44.057392,-5.4176421,1,0.018479999,0,0.0074800001,0.00105
-2.0155461,45.154808,-5.8964095,1,0.0187,0,0.0077,0.00105
-1.9931152,46.370937,-6.3957524,1,0.018920001,0,0.0079199998,0.00105
-1.9565238,47.745205,-7.0841246,1,0.01914,0,0.0081399996,0.00105
-1.9173543,49.104431,-7.9352837,1,0.01936,0,0.0083600003,0.00105
-1.8626549,50.734821,-8.744483,1,0.019579999,0,0.0085800001,0.00105
-1.8008028,52.552277,-9.7054434,1,0.0198,0,0.0088,0.00105
-1.7210964,54.643188,-10.698692,1,0.020020001,0,0.0090199998,0.00105
-1.6318816,56.995075,-11.999379,1,0.02024,0,0.0092399996,0.00105
-1.5316778,59.64307,-13.137296,1,0.02046,0,0.0094600003,0.00105
-1.4065132,63.098133,-14.524405,1,0.020679999,0,0.0096800001,0.00105
-1.2699872,67.254784,-15.814402,1,0.0209,0,0.0098999999,0.00105
-1.1066769,72.876213,-17.099306,1,0.021120001,0,0.01012,0.00105
-0.9176513,80.634048,-18.274147,1,0.02134,0,0.01034,0.00105
-0.66290742,92.881996,-18.927231,1,0.02156,0,0.01056,0.00105
-0.41722745,113.71872,-18.019377,1,0.021779999,0,0.01078,0.00105
0.21567614,159.73274,-16.577461,1,0.022,0,0.011,0.00105
