"potential real part"	"result"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.033346	0.00018626	1	0.0032009	0.05	0.036701	0.01101
0.033346	0.00018618	1	0.0032339	0.05	0.036734	0.01101
0.033346	0.00018611	1	0.0032669	0.05	0.036767	0.01101
0.033346	0.00018604	1	0.0032999	0.05	0.0368	0.01101
0.033346	0.00018597	1	0.0033329	0.05	0.036833	0.01101
0.033346	0.0001859	1	0.0033659	0.05	0.036866	0.01101
0.033346	0.00018584	1	0.0033989	0.05	0.036899	0.01101
0.033346	0.00018613	1	0.0034319	0.05	0.036932	0.01101
0.033346	0.00018642	1	0.0034649	0.05	0.036965	0.01101
0.033346	0.00018638	1	0.0034979	0.05	0.036998	0.01101
0.033346	0.00018634	1	0.0035309	0.05	0.037031	0.01101
0.033346	0.00018629	1	0.0035639	0.05	0.037064	0.01101
0.033346	0.00018625	1	0.0035969	0.05	0.037097	0.01101
0.033346	0.00018621	1	0.0036299	0.05	0.03713	0.01101
0.033346	0.00018618	1	0.0036629	0.05	0.037163	0.01101
0.033346	0.00018614	1	0.0036959	0.05	0.037196	0.01101
0.033346	0.0001861	1	0.0037289	0.05	0.037229	0.01101
0.033346	0.00018607	1	0.0037619	0.05	0.037262	0.01101
0.033346	0.00018603	1	0.0037949	0.05	0.037295	0.01101
0.033346	0.000186	1	0.0038279	0.05	0.037328	0.01101
0.033346	0.00018596	1	0.0038609	0.05	0.037361	0.01101
0.033346	0.00018593	1	0.0038939	0.05	0.037394	0.01101
0.033346	0.0001859	1	0.0039269	0.05	0.037427	0.01101
0.033346	0.00018587	1	0.0039599	0.05	0.03746	0.01101
0.033346	0.00018584	1	0.0039929	0.05	0.037493	0.01101
0.033346	0.00018581	1	0.0040259	0.05	0.037526	0.01101
0.033346	0.00018578	1	0.0040589	0.05	0.037559	0.01101
0.033346	0.00018576	1	0.0040919	0.05	0.037592	0.01101
0.033346	0.00018574	1	0.0041249	0.05	0.037625	0.01101
0.033346	0.00018572	1	0.0041579	0.05	0.037658	0.01101
0.033346	0.0001857	1	0.0041909	0.05	0.037691	0.01101
0.033346	0.00018569	1	0.0042239	0.05	0.037724	0.01101
0.033346	0.00018567	1	0.0042569	0.05	0.037757	0.01101
0.033346	0.00018565	1	0.0042899	0.05	0.03779	0.01101
0.033346	0.00018563	1	0.0043229	0.05	0.037823	0.01101
0.033346	0.00018562	1	0.0043559	0.05	0.037856	0.01101
0.033346	0.0001856	1	0.0043889	0.05	0.037889	0.01101
0.033346	0.00018558	1	0.0044219	0.05	0.037922	0.01101
0.033346	0.00018557	1	0.0044549	0.05	0.037955	0.01101
0.033346	0.00018555	1	0.0044879	0.05	0.037988	0.01101
0.033346	0.00018554	1	0.0045209	0.05	0.038021	0.01101
0.033346	0.00018552	1	0.0045539	0.05	0.038054	0.01101
0.033346	0.00018551	1	0.0045869	0.05	0.038087	0.01101
0.033346	0.00018549	1	0.0046199	0.05	0.03812	0.01101
0.033346	0.00018548	1	0.0046529	0.05	0.038153	0.01101
0.033346	0.00018546	1	0.0046859	0.05	0.038186	0.01101
0.033346	0.00018545	1	0.0047189	0.05	0.038219	0.01101
0.033346	0.00018544	1	0.0047519	0.05	0.038252	0.01101
0.033346	0.00018542	1	0.0047849	0.05	0.038285	0.01101
0.033346	0.00018541	1	0.0048179	0.05	0.038318	0.01101
0.033346	0.0001854	1	0.0048509	0.05	0.038351	0.01101
0.033346	0.00018538	1	0.0048839	0.05	0.038384	0.01101
0.033346	0.00018537	1	0.0049169	0.05	0.038417	0.01101
0.033346	0.00018536	1	0.0049499	0.05	0.03845	0.01101
0.033346	0.00018551	1	0.0049829	0.05	0.038483	0.01101
0.033346	0.00018557	1	0.0050159	0.05	0.038516	0.01101
0.033346	0.00018555	1	0.0050489	0.05	0.038549	0.01101
0.033346	0.00018553	1	0.0050819	0.05	0.038582	0.01101
0.033346	0.0001861	1	0.0051149	0.05	0.038615	0.01101
0.033346	0.00018671	1	0.0051479	0.05	0.038648	0.01101
0.033346	0.00018668	1	0.0051809	0.05	0.038681	0.01101
0.033346	0.00018672	1	0.0052139	0.05	0.038714	0.01101
0.033346	0.00018671	1	0.0052469	0.05	0.038747	0.01101
0.033346	0.00018671	1	0.0052799	0.05	0.03878	0.01101
0.033346	0.0001867	1	0.0053129	0.05	0.038813	0.01101
0.033346	0.0001867	1	0.0053459	0.05	0.038846	0.01101
0.033346	0.0001867	1	0.0053789	0.05	0.038879	0.01101
0.033346	0.00018669	1	0.0054119	0.05	0.038912	0.01101
0.033346	0.00018669	1	0.0054449	0.05	0.038945	0.01101
0.033346	0.00018669	1	0.0054779	0.05	0.038978	0.01101
0.033346	0.00018668	1	0.0055109	0.05	0.039011	0.01101
0.033346	0.00018668	1	0.0055439	0.05	0.039044	0.01101
0.033346	0.00018667	1	0.0055769	0.05	0.039077	0.01101
0.033346	0.00018667	1	0.0056099	0.05	0.03911	0.01101
0.033346	0.00018667	1	0.0056429	0.05	0.039143	0.01101
0.033346	0.00018666	1	0.0056759	0.05	0.039176	0.01101
0.033346	0.00018666	1	0.0057089	0.05	0.039209	0.01101
0.033346	0.00018666	1	0.0057419	0.05	0.039242	0.01101
0.033346	0.00018665	1	0.0057749	0.05	0.039275	0.01101
0.033346	0.00018665	1	0.0058079	0.05	0.039308	0.01101
0.033346	0.00018665	1	0.0058409	0.05	0.039341	0.01101
0.033346	0.00018664	1	0.0058739	0.05	0.039374	0.01101
0.033346	0.00018664	1	0.0059069	0.05	0.039407	0.01101
0.033346	0.00018664	1	0.0059399	0.05	0.03944	0.01101
0.033346	0.00018663	1	0.0059729	0.05	0.039473	0.01101
0.033346	0.00018663	1	0.0060059	0.05	0.039506	0.01101
0.033346	0.00018663	1	0.0060389	0.05	0.039539	0.01101
0.033346	0.00018663	1	0.0060719	0.05	0.039572	0.01101
0.033346	0.00018662	1	0.0061049	0.05	0.039605	0.01101
0.033346	0.00018663	1	0.0061379	0.05	0.039638	0.01101
0.033346	0.00018662	1	0.0061709	0.05	0.039671	0.01101
0.033346	0.00018661	1	0.0062039	0.05	0.039704	0.01101
0.033346	0.00018661	1	0.0062369	0.05	0.039737	0.01101
0.033346	0.0001866	1	0.0062699	0.05	0.03977	0.01101
0.033346	0.00018659	1	0.0063029	0.05	0.039803	0.01101
0.033346	0.00018658	1	0.0063359	0.05	0.039836	0.01101
0.033346	0.00018657	1	0.0063689	0.05	0.039869	0.01101
0.033346	0.00018656	1	0.0064019	0.05	0.039902	0.01101
0.033346	0.00018655	1	0.0064349	0.05	0.039935	0.01101
0.033346	0.00018655	1	0.0064679	0.05	0.039968	0.01101
0.033346	0.00018654	1	0.0065009	0.05	0.040001	0.01101
0.033346	0.00018653	1	0.0065339	0.05	0.040034	0.01101
0.033346	0.00018652	1	0.0065669	0.05	0.040067	0.01101
0.033346	0.00018651	1	0.0065999	0.05	0.0401	0.01101
0.033346	0.0001865	1	0.0066329	0.05	0.040133	0.01101
0.033346	0.0001865	1	0.0066659	0.05	0.040166	0.01101
0.033346	0.00018649	1	0.0066989	0.05	0.040199	0.01101
0.033346	0.00018648	1	0.0067319	0.05	0.040232	0.01101
0.033346	0.00018647	1	0.0067649	0.05	0.040265	0.01101
0.033346	0.00018646	1	0.0067979	0.05	0.040298	0.01101
